L:6.000    W:2.000    H:0.050    l:0.050    tilt:0.44     thick_g:0.003    thick_p:0.001    thick_b:0.001    k_g:1.050    k_p:220.000  k_b:220.000   
c_g:660.0    c_p:890.0    c_b:890.0    rho_g:2500.0   rho_p:2700.0   rho_b:2700.0   thick_i:0.100    k_i0.040    
alpha_g:0.06     alpha_p:0.95     alpha_b:0.95     tau_g:0.84     e_g:0.90     e_p_up:0.95     e_p_down:0.95     e_b:0.95    
dx:0.10     dt:30.0    
01_07_2021  4        4.000    222.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    223.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    224.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    225.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    226.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    227.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    228.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    229.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    230.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    231.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    232.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    233.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    234.0   8.3     12.7    1.8     97860   0.0086  12.241   0.20000000 
01_07_2021  4        4.000    235.0   8.3     12.7    1.8     97860   0.0086  12.241   0.20000000 
01_07_2021  4        4.000    236.0   8.3     12.7    1.8     97860   0.0086  12.241   0.20000000 
01_07_2021  4        4.000    237.0   8.3     12.7    1.8     97860   0.0086  12.241   0.20000000 
01_07_2021  4        4.000    238.0   8.3     12.7    1.8     97860   0.0086  12.241   0.20000000 
01_07_2021  4        4.000    239.0   8.3     12.7    1.8     97860   0.0086  12.241   0.20000000 
01_07_2021  4        4.000    240.0   8.3     12.7    1.8     97860   0.0086  12.241   0.20000000 
01_07_2021  5        5.000    241.0   27.8    13.0    2.0     97880   0.0084  12.432   0.20000000 
01_07_2021  5        5.000    242.0   27.8    13.0    2.0     97880   0.0084  12.553   0.20000000 
01_07_2021  5        5.000    243.0   27.8    13.0    2.0     97880   0.0084  12.649   0.20000000 
01_07_2021  5        5.000    244.0   27.8    13.0    2.0     97880   0.0084  12.728   0.20000000 
01_07_2021  5        5.000    245.0   27.8    13.0    2.0     97880   0.0084  12.795   0.20000000 
01_07_2021  5        5.000    246.0   27.8    13.0    2.0     97880   0.0084  12.850   0.20000000 
01_07_2021  5        5.000    247.0   27.8    13.0    2.0     97880   0.0084  12.897   0.20000000 
01_07_2021  5        5.000    248.0   27.8    13.0    2.0     97880   0.0084  12.937   0.20000000 
01_07_2021  5        5.000    249.0   27.8    13.0    2.0     97880   0.0084  12.970   0.20000000 
01_07_2021  5        5.000    250.0   27.8    13.0    2.0     97880   0.0084  12.999   0.20000000 
01_07_2021  5        5.000    251.0   27.8    13.0    2.0     97880   0.0084  13.022   0.20000000 
01_07_2021  5        5.000    252.0   27.8    13.0    2.0     97880   0.0084  13.042   0.20000000 
01_07_2021  5        5.000    253.0   27.8    13.0    2.0     97880   0.0084  13.059   0.20000000 
